Lot size,Bedrooms,Bathrooms,Year built,Neighborhood,Distance to park,Distance to school,Distance to shopping,Floors,Garage capacity,HasPool,HasFireplace,HasDeck,HasBasement,Heating,Cooling,NumPrevOwner,Energy rating,Made,Price
2333,2,2,1930,Rural,1.54918889,8.782219023,7.731628706,2,1,YES,NO,NO,0,Oil,Window,3,1,2015,177535
2445,2,1,1998,Suburban,2.345203546,8.355504439,6.248497296,2,1,YES,NO,NO,0,Oil,Window,3,7,1996,178577
2035,2,1,1989,Suburban,2.138746285,10.34967662,8.948948223,1,2,YES,YES,NO,0,Oil,Window,3,9,2008,178621
4251,2,1,1962,Suburban,2.978112356,7.624537127,7.683292556,1,1,NO,NO,YES,1,Gas,Window,3,6,2020,179500
2643,2,1,1993,Urban,3.935453804,6.416584843,7.429746807,1,2,NO,NO,NO,1,Oil,Wall,3,5,2018,180564
1504,2,2,1963,Rural,2.024911475,7.238192248,8.835863233,1,1,NO,NO,NO,1,Oil,Window,3,1,2007,184635
1129,2,2,1912,Rural,2.125982257,11.96458584,8.028135512,1,1,NO,NO,NO,1,Oil,Window,3,4,2016,185498
1375,2,1,1906,Rural,2.516912716,8.360174847,6.441197231,1,0,NO,YES,YES,0,Oil,Window,3,9,2015,186478
2062,2,1,1948,Rural,4.02804869,11.13743083,8.983050149,2,1,NO,NO,NO,0,Oil,Window,3,6,2010,186684
2367,2,2,1974,Suburban,1.664203959,6.949629815,7.750860754,2,2,YES,YES,YES,0,Oil,Window,3,8,1996,187490
1040,3,1,1903,Suburban,4.690581807,12.26494176,7.067973186,1,1,NO,NO,NO,1,Oil,Window,3,8,1996,188296
4506,2,1,1922,Suburban,2.664102622,7.570315526,7.376440945,1,0,NO,NO,NO,0,Oil,Central,3,9,2006,188556
1038,2,2,1924,Urban,1.048756668,10.35130083,8.334157622,2,2,NO,NO,NO,1,Electric,Wall,3,6,1998,188743
3294,2,2,1994,Rural,1.58502223,9.153799042,7.563433949,1,0,NO,NO,NO,0,Oil,Wall,3,4,1998,189347
1225,2,2,1929,Rural,0.334128687,7.540003757,8.188486381,1,1,YES,NO,NO,0,Oil,Wall,3,3,2007,191399
1153,4,1,1987,Rural,3.271389189,10.2345781,7.684645822,2,1,NO,NO,YES,0,Oil,Window,3,3,2005,191432
2008,2,2,1934,Rural,2.195578521,6.946458365,6.729993232,2,2,NO,YES,YES,0,Oil,Central,3,8,2014,192163
1101,2,1,1941,Suburban,1.18362329,6.792770289,9.22170814,1,0,NO,NO,NO,0,Oil,Wall,3,6,2016,192180
1454,3,1,1994,Rural,1.836677561,9.400089787,7.703692597,1,0,NO,NO,YES,1,Electric,Central,3,5,1995,193277
2015,2,1,1957,Urban,2.111933616,7.546567207,9.165352383,2,0,NO,NO,NO,0,Oil,Wall,3,1,2007,194512
1703,2,2,1946,Rural,1.434345446,8.474129606,7.39371401,1,1,NO,NO,NO,1,Electric,Central,3,3,1995,194945
1011,3,1,1986,Suburban,1.299519378,12.3908353,7.383151409,2,2,NO,YES,NO,0,Oil,Central,3,7,2006,196162
2246,2,2,1911,Suburban,0.362525142,12.43483584,8.537432591,2,1,NO,NO,YES,1,Oil,Wall,3,1,2000,196384
1193,2,2,1941,Urban,1.884193179,12.43993826,7.533451554,2,0,NO,NO,YES,0,Oil,Central,3,5,2019,196809
3286,2,2,1969,Rural,2.946746074,7.077757336,8.55594875,1,0,NO,NO,NO,NaN,Electric,Window,3,4,1999,196861
2141,2,2,1914,Suburban,2.406434898,11.74839553,7.366546558,1,1,NO,NO,NO,0,Oil,Window,3,8,2006,197888
3680,2,2,1919,Suburban,0.350999052,4.660844165,8.663841361,1,0,NO,NO,YES,1,Oil,Wall,3,1,2005,198037
2970,3,2,1929,Suburban,2.398969731,12.49588807,8.966171306,2,1,NO,YES,NO,0,Oil,Wall,3,7,2009,198699
1562,3,1,1911,Urban,3.792030467,10.74517873,9.531326802,1,1,NO,NO,YES,0,Oil,Central,3,9,2006,198941
1035,2,1,1967,Suburban,0.226610964,8.600609831,8.329225867,1,1,NO,NO,NO,0,Electric,Window,3,8,2019,201241
1189,2,1,1937,Urban,4.10732816,7.536891386,8.525307463,1,1,NO,YES,YES,0,Electric,Wall,3,4,1997,203834
3301,2,2,1976,Urban,1.291310199,10.87950399,8.430567384,1,1,NO,NO,YES,0,Gas,Window,3,9,1996,203878
2415,2,2,1998,Rural,2.208550497,8.001053862,7.304451666,2,1,NO,NO,YES,0,Oil,Wall,3,4,2017,206034
1711,2,2,1913,Suburban,4.26655677,7.334148702,8.218113555,1,2,YES,NO,YES,NaN,Electric,Window,3,3,2012,206170
1397,2,1,1976,Rural,2.697256462,4.789706609,7.392006703,2,2,YES,NO,YES,0,Electric,Wall,3,4,2000,206377
2148,2,2,1996,Urban,1.137810934,7.301451279,7.599718729,2,2,NO,YES,NO,0,Gas,Window,3,3,2004,207379
1189,3,2,1980,Suburban,1.586484983,9.982773592,6.882990438,2,2,NO,NO,YES,0,Electric,Wall,3,3,2009,208512
4891,2,1,1979,Rural,0.141628335,7.19062534,8.436152982,1,0,NO,NO,NO,0,Oil,Window,3,6,2009,209030
1148,3,2,1939,Urban,0.429479107,6.010993129,8.46601823,2,1,NO,YES,YES,0,Gas,Window,3,2,2018,210716
2855,2,1,1990,Urban,2.683823389,9.983657601,9.030384694,1,1,NO,YES,NO,0,Gas,Window,3,6,2014,210930
2329,2,2,1929,Urban,3.914727812,6.988077631,8.473082672,2,2,NO,NO,YES,0,Oil,Window,3,3,1996,212371
1616,3,2,1948,Urban,1.842096006,8.935760951,9.352739895,2,0,NO,NO,YES,0,Electric,Wall,3,3,2009,212912
1446,2,1,1959,Urban,1.888733077,11.877237,9.182713432,1,1,NO,NO,NO,0,Oil,Window,3,4,2015,213558
1914,2,2,1986,Rural,4.5249482,4.468927724,7.779946493,1,0,YES,NO,NO,0,Oil,Central,3,8,2019,213671
3058,2,2,1922,Urban,3.111250989,7.127411984,9.202430906,2,1,YES,YES,NO,0,Oil,Window,3,1,2018,213770
1876,3,2,1951,Suburban,1.560936746,8.612440217,9.150876603,2,1,NO,YES,NO,0,Oil,Window,3,5,2017,214652
1418,2,1,1982,Rural,2.769640911,9.667289848,8.755242999,2,1,NO,NO,YES,0,Oil,Wall,3,9,1996,214778
2160,3,2,1980,Rural,1.026480504,10.93439196,8.741165047,2,0,NO,NO,YES,0,Oil,Window,3,1,1993,215490
1750,2,2,1998,Rural,4.868409086,3.149752483,6.458711339,2,1,NO,NO,YES,0,Gas,Window,3,7,2014,215520
1698,2,1,1901,Suburban,0.522065281,10.99824349,6.891183679,2,1,NO,YES,NO,0,Oil,Window,3,3,1996,215777
2191,2,2,1903,Suburban,1.735150617,3.501040812,9.415875149,2,1,NO,YES,NO,1,Oil,Window,3,4,2000,218460
3343,2,1,1934,Rural,4.450306438,12.36784872,7.426969074,1,2,NO,YES,YES,0,Oil,Window,3,1,2015,218958
1728,2,2,1936,Suburban,2.437838107,8.213810453,8.8985495,1,0,NO,NO,YES,1,Electric,Window,3,4,2000,220392
1404,3,2,1976,Rural,4.739824207,5.59660162,6.049587798,2,1,YES,NO,NO,0,Oil,Window,3,6,2000,220434
1671,2,2,1933,Rural,0.445257321,7.216282014,7.301779679,1,1,YES,YES,NO,0,Oil,Window,3,8,2009,220648
3492,2,1,1961,Rural,1.5911072,5.589158507,9.685223511,1,0,NO,NO,YES,0,Oil,Window,3,5,2009,221026
1474,2,2,1942,Rural,3.600499054,10.45393287,6.973306242,2,1,NO,YES,YES,1,Oil,Window,3,3,1998,221047
1082,2,2,1931,Rural,0.101180923,8.824474883,8.494040019,2,2,NO,NO,NO,0,Oil,Window,3,7,2019,221347
2167,3,2,1992,Suburban,4.947471731,10.75145197,8.777082258,1,1,NO,NO,YES,0,Oil,Wall,3,1,2016,222550
2303,3,1,1948,Suburban,4.420414801,12.91756322,7.96751865,1,1,NO,NO,NO,0,Oil,Wall,3,3,2007,223201
1635,2,1,1952,Suburban,0.359386084,8.977687251,8.64960944,2,0,NO,NO,YES,1,Electric,Wall,3,8,1990,223402
3791,2,2,1994,Urban,3.52015331,12.73165446,5.527554342,2,2,NO,YES,YES,1,Oil,Window,3,7,2018,223488
1699,2,2,1914,Suburban,2.472644383,11.60085334,6.73380898,1,2,NO,YES,NO,1,Oil,Central,3,5,1998,224204
1268,2,1,1934,Suburban,3.59377003,NaN,6.410952114,1,2,YES,YES,YES,0,Oil,Wall,3,9,1996,224262
2101,2,2,1922,Urban,3.127284653,8.487383148,7.320063746,1,2,YES,YES,NO,0,Oil,Central,3,7,2008,224659
1004,3,2,1972,Rural,4.044337486,9.774501954,8.778627365,2,0,NO,YES,YES,1,Oil,Central,3,7,2004,225044
2191,4,2,1916,Urban,1.307106411,9.916782933,7.819223245,2,0,NO,NO,NO,0,Oil,Wall,3,6,2000,226196
1826,2,1,1979,Rural,4.406517615,8.145661129,7.285648217,2,2,NO,YES,NO,0,Oil,Central,3,5,2006,226237
1285,2,1,1943,Rural,1.700447338,2.191502878,8.337009801,1,2,NO,YES,NO,1,Electric,Wall,3,8,2014,226288
4533,2,2,1997,Urban,0.272280326,8.058458616,7.201460485,2,1,NO,YES,NO,0,Oil,Window,3,1,1996,226414
1329,3,1,1956,Rural,1.193951465,6.414439575,7.174645343,1,1,NO,NO,NO,1,Oil,Wall,3,4,2000,226477
1661,4,1,1983,Rural,3.373295317,0.334791967,8.144181992,1,0,NO,NO,YES,0,Oil,Window,3,8,2003,226686
1122,2,2,1955,Suburban,2.792117977,3.599427004,8.007349575,2,1,NO,YES,NO,0,Oil,Central,3,6,2005,227006
3368,2,2,1948,Suburban,1.085758638,7.791769245,9.154891143,2,1,YES,YES,YES,0,Oil,Wall,3,9,2017,227143
4383,2,1,1991,Rural,1.070840635,6.337342318,9.973898578,2,1,YES,YES,YES,1,Electric,Wall,3,4,2013,227612
1980,2,1,1907,Urban,2.208681551,7.070633172,9.832950526,2,0,NO,YES,NO,1,Oil,Central,3,3,2010,227799
1609,2,1,1912,Suburban,2.628134805,6.299823745,9.179050216,2,2,NO,NO,NO,0,Oil,Central,3,4,2000,228045
1880,3,2,1903,Suburban,0.284074525,8.546412489,8.051992032,1,1,NO,YES,NO,0,Oil,Window,3,2,2016,228190
2875,2,2,1975,Suburban,0.722802807,4.468173724,9.27133344,1,1,NO,NO,NO,1,Oil,Central,3,6,2009,228208
2515,2,1,1921,Rural,4.668107731,1.133277435,7.435611901,1,2,NO,NO,YES,0,Oil,Wall,3,5,2014,229239
1171,2,1,1991,Rural,1.362708676,9.98631146,8.802156791,2,2,NO,NO,NO,1,Oil,Wall,3,6,1999,229623
2673,2,1,1925,Rural,3.305755322,0.633593075,8.370309128,2,0,NO,YES,NO,0,Oil,Window,3,1,2000,229663
1735,2,2,1982,Rural,3.16103328,1.79611299,7.168693868,1,0,NO,YES,YES,1,Electric,Central,3,3,1999,229731
2363,2,2,1985,Urban,4.346318874,9.621448536,7.139453427,2,1,YES,YES,YES,0,Oil,Window,3,4,2000,229970
3150,2,2,1965,Suburban,1.310130521,3.348657087,6.877515676,2,2,YES,YES,NO,1,Oil,Wall,3,5,1994,230118
2785,2,2,1991,Rural,0.778148171,7.794140503,3.390278477,1,1,NO,NO,NO,0,Oil,Central,3,6,1997,230517
4499,2,1,1948,Urban,3.531704655,0.611688231,3.324177309,1,1,NO,NO,YES,1,Gas,Central,3,4,2008,230960
2761,2,2,1919,Rural,4.32757681,4.165933966,2.265724029,2,2,NO,YES,NO,1,Gas,Central,3,7,2020,231268
1301,2,1,1997,Suburban,0.259184324,5.587793721,3.074004012,1,1,NO,YES,NO,0,Oil,Central,3,6,1993,231285
2881,2,2,1927,Suburban,0.518501566,4.78481055,3.546569163,2,1,NO,NO,YES,1,Oil,Central,3,9,1997,231798
1395,2,1,1965,Rural,0.903265433,1.89437753,4.285743102,2,1,NO,NO,YES,0,Electric,Wall,3,2,2003,231911
1876,2,1,1918,Suburban,4.580268169,8.734824837,3.160230365,1,0,NO,YES,YES,0,Oil,Central,3,7,2014,232296
1293,2,2,1921,Urban,1.352764494,3.394901775,2.992959091,1,0,NO,YES,YES,1,Oil,Wall,3,4,2004,232425
2520,2,2,1923,Urban,0.341568346,9.665162446,3.591717727,1,2,YES,NO,YES,0,Oil,Wall,3,1,2013,232428
1400,4,1,1923,Rural,0.531896993,3.201182331,3.307221044,1,2,YES,NO,YES,0,Gas,Window,3,1,2008,232621
1197,2,2,1975,Suburban,2.857011572,7.194656173,3.682078196,2,0,NO,YES,YES,1,Gas,Wall,3,4,2016,232846
2369,2,1,1979,Urban,3.93632571,1.148963522,2.28869332,1,1,NO,YES,YES,1,Oil,Central,3,3,2012,233012
1337,3,1,1930,Suburban,1.758002543,2.596803781,3.108398248,2,2,NO,YES,NO,1,Oil,Wall,3,6,2014,233205
1249,3,2,1928,Urban,1.466472439,2.944570299,3.627392074,1,2,NO,NO,NO,1,Electric,Central,3,9,2015,233818
2790,2,1,1905,Rural,2.463875648,0.617459809,3.99928464,2,1,NO,NO,YES,1,Oil,Window,3,7,2013,234107
1392,2,1,1953,Urban,0.346582371,7.930940333,2.37320775,2,2,NO,YES,NO,1,Oil,Window,3,2,2018,234675
1186,3,1,1950,Urban,0.166835245,0.392465489,3.757610937,1,1,NO,YES,NO,0,Oil,Wall,3,7,1993,235191
1459,3,2,1922,Suburban,4.954149412,8.131182528,3.374848078,1,2,NO,NO,YES,1,Gas,Window,3,8,2021,235806
4247,2,2,1987,Urban,3.150619449,6.595846309,4.189418284,1,1,YES,YES,NO,0,Gas,Window,3,1,2004,235820
2920,2,1,1948,Suburban,3.609994183,4.271631718,2.960618702,2,2,YES,YES,NO,0,Oil,Central,3,1,2013,236445
3065,2,1,1942,Urban,2.305118774,1.580538254,2.053580853,2,1,NO,YES,NO,1,Oil,Window,3,4,2000,236805
3888,2,1,1994,Rural,4.386353707,7.011357548,4.53216377,2,1,NO,YES,YES,0,Electric,Window,3,9,2004,236810
1385,2,1,1940,Suburban,0.14093805,6.067794569,3.828660122,2,1,NO,YES,NO,0,Oil,Window,3,2,1999,236823
4175,3,1,1971,Rural,2.688070835,8.30244957,3.45099737,2,0,NO,NO,YES,1,Oil,Wall,3,3,2009,237704
3947,2,1,1983,Urban,3.49360672,0.406608974,2.964821911,2,1,NO,NO,NO,1,Oil,Central,3,1,2006,238183
2107,2,2,1907,Rural,1.748606724,6.790535194,2.602651968,2,0,NO,NO,YES,0,Gas,Central,3,3,2003,238304
1341,2,2,1968,Rural,1.359066268,9.697449819,1.006005373,2,1,NO,NO,NO,0,Gas,Window,3,3,2000,238778
3394,2,2,1968,Suburban,3.556933594,6.670674341,3.59469853,2,2,NO,YES,YES,1,Oil,Central,3,9,2008,240950
1224,2,1,1911,Urban,1.876657742,1.276640527,2.020747667,2,0,YES,YES,NO,1,Oil,Window,3,7,2000,241377
1823,2,1,1981,Suburban,0.506281449,2.195996107,3.655868179,2,0,YES,YES,NO,1,Electric,Central,3,3,2003,241610
1954,3,1,1961,Rural,0.688780368,5.219788587,3.582003354,1,0,NO,NO,NO,1,Oil,Central,3,4,2019,241671
1804,2,1,1942,Urban,0.47966977,4.292044169,4.198276037,2,1,NO,YES,YES,0,Oil,Wall,3,4,2000,241963
2634,2,2,1905,Urban,2.774173431,4.985740908,3.248259796,2,1,NO,YES,YES,1,Oil,Window,3,5,2018,242175
2570,2,1,1940,Urban,3.403516049,2.694918423,2.577341971,1,0,NO,YES,YES,1,Gas,Central,3,5,2000,242554
2219,2,1,1919,Suburban,1.416134771,1.633923675,3.052682454,1,1,NO,NO,YES,1,Gas,Wall,3,1,2000,242809
1434,2,1,1953,Rural,4.033015596,7.383608069,4.42471883,2,2,NO,YES,NO,1,Oil,Central,3,2,1996,243029
1437,2,1,1994,Urban,1.493012617,0.4086316,2.700347224,1,1,NO,YES,NO,1,Oil,Window,3,7,2004,243073
1050,3,2,1992,Suburban,1.200453675,1.362247294,3.74313218,2,2,NO,YES,NO,1,Electric,Window,3,2,2007,244007
1097,3,1,1949,Urban,2.528704212,2.920041498,3.356629616,2,1,YES,YES,YES,0,Oil,Window,3,1,2017,244161
1320,4,2,1913,Suburban,1.412094142,5.114844999,3.866774665,2,0,YES,YES,NO,1,Oil,Window,3,1,1998,244310
3253,2,1,1954,Urban,4.091662775,6.742649624,2.996725621,2,0,NO,YES,YES,0,Oil,Central,3,8,1995,244452
1264,2,2,1927,Urban,4.200630769,8.550936292,3.236098164,2,0,NO,NO,YES,0,Gas,Window,3,4,1999,244467
3532,3,1,1945,Rural,0.796688744,3.229438391,3.090790903,2,0,NO,NO,NO,0,Gas,Window,3,1,2018,245364
1960,2,1,1937,Rural,4.028946909,6.488249778,2.739580467,1,1,NO,NO,YES,0,Oil,Central,3,6,2009,245960
2887,2,2,1977,Urban,2.716776955,8.116906434,2.717002653,1,0,NO,YES,NO,0,Oil,Wall,3,4,2006,246304
1127,3,2,1922,Urban,3.33117391,5.9000442,3.989799346,2,0,NO,YES,NO,0,Electric,Window,3,3,2005,246452
4925,2,2,1919,Suburban,1.051230975,2.538080268,2.540102157,1,0,NO,YES,NO,NaN,Oil,Window,3,5,2000,246805
4152,2,1,1923,Suburban,0.974408303,9.4155613,4.499276584,2,1,NO,NO,YES,0,Oil,Central,3,1,2005,247234
1992,3,1,1911,Urban,0.411647038,5.782219023,4.753825245,1,2,YES,NO,NO,0,Oil,Window,3,9,2009,247394
1876,2,2,1909,Suburban,0.521968941,5.355504439,3.337612593,1,2,YES,NO,NO,0,Gas,Central,3,9,2019,247973
2630,2,1,1977,Suburban,2.68514015,7.349676618,2.072231701,2,0,NO,NO,YES,0,Gas,Central,3,6,2006,248693
2136,2,1,1991,Suburban,2.999858748,4.624537127,2.894729384,1,1,NO,NO,NO,0,Oil,Wall,3,1,2000,249213
3081,2,1,1983,Suburban,1.758914734,3.416584843,2.612688462,1,0,NO,NO,YES,0,Oil,Central,3,6,2013,249261
1334,2,1,1955,Urban,3.05476793,4.238192248,2.178485888,2,1,NO,NO,YES,0,Electric,Wall,3,1,2005,249687
1648,2,2,1936,Suburban,1.929430489,8.964585841,5.02486894,1,0,NO,YES,YES,0,Oil,Window,3,3,1997,249763
2279,2,1,1923,Suburban,0.939239712,5.360174847,2.340504292,2,1,NO,YES,YES,0,Oil,Window,3,2,2003,250040
3590,3,1,1919,Suburban,1.577135313,8.137430828,2.953619514,1,0,NO,YES,NO,0,Oil,Wall,3,1,1995,252186
3616,2,1,1938,Suburban,0.368250413,3.949629815,3.197423048,2,2,NO,YES,YES,1,Gas,Window,3,5,2018,252484
2257,3,1,1922,Suburban,1.896937352,9.264941761,3.46815198,2,2,YES,YES,YES,1,Gas,Window,3,2,2018,252952
2981,2,2,1948,Urban,1.292868822,4.570315526,2.41570497,1,0,YES,YES,YES,0,Oil,Window,3,1,2000,253114
1459,3,1,1945,Urban,3.453733269,7.351300828,3.446012511,1,2,NO,NO,NO,0,Oil,Central,3,5,1995,253386
