Id,Home Ownership,Annual Income,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default
55,Rent,,6 years,0,7,18,89100,0,13,0,small business,Long Term,130328,39235,18351,,0
56,Rent,1520969,10+ years,0,7,19.2,458590,0,,0,home improvements,Short Term,468138,2774,12865,748,0
57,Rent,719549,2 years,0,7,16.3,37290,1,,0,debt consolidation,Long Term,71258,27569,12592,722,1
58,Home Mortgage,992845,,0,17,21.2,1132054,0,,0,debt consolidation,Short Term,207812,294291,25483,739,0
59,Rent,,< 1 year,0,9,10.7,642092,0,,0,debt consolidation,Short Term,312026,296685,13006,,1
60,Home Mortgage,1630029,,0,10,17.3,697114,0,,0,debt consolidation,Long Term,230362,260680,6181,714,0
61,Home Mortgage,866476,1 year,0,15,12.9,239800,0,,0,debt consolidation,Long Term,99999999,130891,11770,701,0
62,Home Mortgage,1670860,6 years,0,8,16,233420,0,61,0,debt consolidation,Long Term,333564,122569,23949,705,0
63,Rent,573762,1 year,0,7,16.6,197120,0,54,0,debt consolidation,Short Term,177166,114741,12671,735,1
64,Rent,,< 1 year,0,10,15.6,697642,0,,0,debt consolidation,Short Term,156508,398259,28077,,0
65,Rent,1280125,10+ years,0,8,13.3,362934,0,,0,debt consolidation,Short Term,318582,204991,16428,741,1
66,Home Mortgage,,10+ years,0,11,11.3,693418,1,,1,debt consolidation,Short Term,266398,147915,21461,,0
67,Rent,1269333,< 1 year,0,7,15.8,235510,0,,0,debt consolidation,Short Term,99999999,171874,5183,747,0
68,Rent,2157773,4 years,0,10,22.2,660374,0,13,0,debt consolidation,Short Term,482152,494475,39559,743,0
69,Home Mortgage,1408527,2 years,0,12,17.5,700062,0,21,0,other,Long Term,525998,174135,9320,6470,1
70,Home Mortgage,613966,6 years,0,5,16.3,96998,0,,0,buy a car,Short Term,148632,29982,6498,744,0
71,Rent,,10+ years,0,8,13.1,797874,0,,0,debt consolidation,Short Term,308616,360392,35030,,0
72,Rent,1140000,10+ years,0,9,16,778448,0,,0,debt consolidation,Long Term,462000,414808,19950,725,0
73,Home Mortgage,1631644,8 years,0,9,12.1,862422,0,,0,other,Short Term,351670,155667,4773,718,1
74,Home Mortgage,1435127,< 1 year,0,10,21.2,1643906,0,68,0,debt consolidation,Long Term,443124,782268,28487,674,0
75,Own Home,,10+ years,0,17,32.5,2322650,0,,0,other,Short Term,448184,136401,29320,,0
76,Rent,808298,5 years,0,12,15.7,632170,0,,0,debt consolidation,Short Term,99999999,251693,8622,746,0
77,Rent,1164852,3 years,0,19,12.7,276540,0,,0,debt consolidation,Short Term,175340,92663,12134,729,1
78,Rent,,1 year,0,7,9,415250,0,,0,debt consolidation,Short Term,174438,185402,7735,,0
79,Rent,985815,8 years,0,11,18.1,227876,3,51,3,debt consolidation,Short Term,108504,104899,10351,729,1
80,Rent,,10+ years,0,6,36.8,263934,0,70,0,debt consolidation,Long Term,111848,60173,16918,,0
81,Have Mortgage,1112298,< 1 year,0,7,9,81598,0,,0,take a trip,Short Term,128788,42921,15906,704,1
82,Home Mortgage,1001357,6 years,0,6,16.5,655292,0,,0,debt consolidation,Short Term,109384,294291,16606,745,0
83,Rent,1860290,3 years,0,18,16.4,1120218,0,,0,other,Short Term,116314,697528,49298,749,0
84,Home Mortgage,2539103,6 years,0,13,17.2,1211430,0,,0,debt consolidation,Short Term,381106,636101,51205,742,0
85,Home Mortgage,1301614,9 years,0,17,18,9339924,0,,0,debt consolidation,Short Term,592240,959899,16813,748,0
86,Home Mortgage,1934884,5 years,0,9,18,769604,0,51,0,debt consolidation,Short Term,390258,429381,19188,745,0
87,Home Mortgage,1533566,7 years,0,11,14.8,715462,0,19,0,debt consolidation,Short Term,210826,285475,18147,7440,1
88,Home Mortgage,1375068,10+ years,0,18,32,2672516,0,22,0,debt consolidation,Long Term,741774,678585,17991,729,0
89,Home Mortgage,1041675,10+ years,0,13,19.4,551320,0,16,0,debt consolidation,Short Term,100144,167599,12648,737,0
90,Rent,1304141,10+ years,0,6,12.9,132418,1,,1,other,Short Term,176616,97546,14237,673,0
91,Rent,601369,10+ years,0,6,16.9,0,0,14,0,debt consolidation,Short Term,165924,0,9021,738,0
92,Home Mortgage,1642075,10+ years,0,12,12.9,384736,0,14,0,debt consolidation,Short Term,276562,275462,25863,653,0
93,Home Mortgage,,10+ years,0,18,17.9,3028014,0,,0,debt consolidation,Short Term,311168,2327443,55716,,0
94,Rent,1049294,3 years,0,5,6.1,249810,0,,0,business loan,Short Term,337502,119529,15215,7010,1
95,Home Mortgage,805828,9 years,0,8,20.5,657360,0,38,0,debt consolidation,Short Term,199936,250933,13565,740,0
96,Rent,757568,5 years,0,13,11.4,383548,0,,0,debt consolidation,Short Term,210518,276583,11553,7320,1
97,Rent,840541,6 years,0,6,14.8,427372,0,,0,business loan,Short Term,99999999,1102,483,751,0
98,Rent,1242087,,0,17,20.6,613954,1,36,1,debt consolidation,Short Term,196130,181336,16251,711,1
99,Rent,,1 year,0,9,8.9,61358,0,,0,wedding,Short Term,32824,14041,7879,,1
100,Own Home,337079,1 year,0,9,39.6,644204,0,0,,educational expenses,Short Term,99999999,224770,4326,734,0
101,Rent,960260,10+ years,0,10,16.3,796312,0,34,0,other,Long Term,333564,320473,16645,617,0
102,Home Mortgage,708624,9 years,0,7,8.5,576378,0,,0,debt consolidation,Short Term,299376,210064,6555,730,0
103,Rent,1510538,10+ years,0,7,18.8,593472,0,,0,debt consolidation,Long Term,405944,432060,19511,724,0
104,Rent,1194834,3 years,0,10,31.3,520740,0,30,0,debt consolidation,Short Term,99999999,332804,12148,747,0
105,Rent,,1 year,0,16,17.6,1158630,0,71,0,home improvements,Short Term,343772,218139,5996,,0
106,Home Mortgage,2454933,10+ years,0,10,22.4,531454,0,3,0,debt consolidation,Short Term,437316,383249,50122,730,0
107,Rent,,3 years,0,14,11.9,300740,0,73,0,debt consolidation,Short Term,90178,157149,14324,,0
108,Rent,1390306,,0,7,23.9,351516,0,52,0,buy house,Short Term,99999999,10925,9755,744,0
109,Home Mortgage,2831190,3 years,0,11,16.7,518188,0,,0,debt consolidation,Short Term,393382,362938,26188,741,0
110,Rent,1131545,3 years,0,14,14.6,602954,0,44,0,debt consolidation,Long Term,99999999,216106,12258,734,0
111,Home Mortgage,,2 years,0,9,13.8,259842,0,,0,debt consolidation,Short Term,151514,160455,13511,,0
112,Home Mortgage,1530640,10+ years,0,14,18,283448,2,61,2,debt consolidation,Short Term,243694,194598,15306,740,0
113,Home Mortgage,902918,10+ years,0,13,15.2,329252,0,72,0,debt consolidation,Short Term,222442,31559,9706,738,0
114,Rent,1030579,< 1 year,0,11,8,141020,0,,0,buy house,Long Term,379698,95247,10478,624,1
115,Home Mortgage,2041094,3 years,0,19,16,1034616,0,,0,debt consolidation,Short Term,644556,455696,46945,736,0
116,Home Mortgage,1039984,,0,10,23.8,147950,0,63,0,debt consolidation,Short Term,224246,95456,13780,7390,1
117,Home Mortgage,1350083,5 years,0,10,12.2,325490,0,,0,debt consolidation,Long Term,223322,168663,15076,724,0
118,Home Mortgage,1637629,10+ years,0,9,17,372878,0,,0,debt consolidation,Short Term,460438,285323,24974,724,0
119,Rent,566409,3 years,0,12,6,288772,0,,0,other,Short Term,109318,82308,11611,667,0
120,Home Mortgage,,5 years,0,8,6.4,405284,0,23,0,debt consolidation,Short Term,182336,158555,21091,,0
121,Rent,405346,2 years,0,10,9.8,251900,0,5,0,debt consolidation,Short Term,99999999,41762,7600,746,0
122,Rent,1217349,< 1 year,0,10,16.7,366498,0,60,0,debt consolidation,Short Term,325292,298490,25361,707,0
123,Rent,494798,6 years,0,9,10.3,330176,0,17,0,debt consolidation,Short Term,176286,124602,6968,694,1
124,Home Mortgage,2379047,10+ years,0,11,21.7,1046694,0,,0,debt consolidation,Long Term,749276,854240,25376,679,0
125,Home Mortgage,1004207,6 years,0,10,14.8,380248,1,,1,debt consolidation,Short Term,99999999,139897,12218,726,0
126,Home Mortgage,2334150,2 years,0,14,17.7,1467620,0,,0,debt consolidation,Short Term,648648,996246,42987,708,0
127,Home Mortgage,1933573,4 years,0,9,20.5,847990,0,,0,debt consolidation,Short Term,545336,186751,12214,748,0
128,Home Mortgage,1242657,10+ years,0,15,13.2,697004,0,59,0,debt consolidation,Long Term,221364,164331,12841,732,0
129,Home Mortgage,1191015,3 years,0,15,22.4,1392116,0,,0,debt consolidation,Short Term,497992,660041,22629,739,0
130,Have Mortgage,,10+ years,0,8,33.6,651794,0,13,0,take a trip,Short Term,108218,401356,15390,,0
131,Rent,753464,< 1 year,0,12,14.3,516692,0,,0,debt consolidation,Short Term,133056,319504,10862,740,0
132,Home Mortgage,1594176,10+ years,0,8,18,909018,0,,0,business loan,Long Term,434324,372115,6509,735,1
133,Home Mortgage,1878910,10+ years,0,17,21.7,4477858,0,1,0,debt consolidation,Short Term,326348,1009356,16441,693,0
134,Home Mortgage,564300,10+ years,0,14,19.1,349844,1,13,1,debt consolidation,Long Term,326700,58007,15001,668,1
135,Rent,,9 years,0,11,14.1,296692,0,74,0,take a trip,Short Term,110792,187321,19964,,0
136,Rent,1219724,10+ years,0,7,18.8,385242,0,17,0,other,Long Term,78628,159695,17971,723,1
137,Home Mortgage,3694037,10+ years,0,6,23,935814,0,4,0,debt consolidation,Short Term,137566,661922,23642,724,1
138,Rent,1682298,3 years,0,5,12.9,445984,0,,0,debt consolidation,Short Term,151514,223782,7388,748,0
139,Home Mortgage,,4 years,0,10,15.5,209220,0,8,0,debt consolidation,Short Term,337502,103360,18460,,0
140,Rent,968924,10+ years,0,12,21.2,196460,0,35,0,debt consolidation,Short Term,128370,88236,10497,725,1
141,Home Mortgage,,10+ years,0,8,19.2,359084,0,72,0,debt consolidation,Short Term,328482,142329,26793,,0
142,Rent,606062,8 years,0,11,27.3,235620,2,,2,debt consolidation,Short Term,116226,105811,11566,731,0
143,Own Home,,10+ years,0,6,20.4,249392,0,,0,debt consolidation,Short Term,331056,152285,10321,,1
144,Rent,,,0,16,20.7,612216,0,42,0,debt consolidation,Long Term,412852,378062,25810,,1
145,Home Mortgage,1534478,4 years,0,14,15.7,539220,0,,0,debt consolidation,Short Term,325028,321784,17391,748,0
146,Home Mortgage,700625,,0,11,20.1,414502,1,68,1,debt consolidation,Short Term,99999999,156427,3912,738,0
147,Rent,1576791,1 year,0,6,9.7,448954,0,39,0,other,Short Term,99999999,94221,11524,748,0
148,Home Mortgage,2676758,10+ years,0,17,7.8,1387606,0,13,0,debt consolidation,Short Term,99999999,293607,19183,737,0
149,Home Mortgage,395124,9 years,0,16,16.5,561462,0,21,0,debt consolidation,Short Term,143792,207537,9582,701,1
150,Home Mortgage,,10+ years,0,12,16.8,362032,1,,1,debt consolidation,Short Term,430980,229482,15794,,0
151,Home Mortgage,1440257,4 years,0,7,16,1286186,0,,0,business loan,Short Term,99999999,242155,2953,746,0
152,Home Mortgage,1026817,10+ years,0,19,20.8,957550,0,,0,debt consolidation,Long Term,345884,619419,18055,7140,1
153,Rent,749816,9 years,0,7,14.5,329890,0,,0,buy a car,Short Term,325578,207138,12934,7470,1
154,Rent,,3 years,0,12,13.8,271700,0,,0,debt consolidation,Short Term,307230,99484,3454,,0
155,Home Mortgage,918384,10+ years,0,10,33.7,763906,0,11,0,debt consolidation,Short Term,212674,502075,14388,744,0
156,Home Mortgage,1988825,10+ years,0,4,14.2,730466,0,41,0,debt consolidation,Short Term,614086,383553,6911,737,0
157,Rent,2421835,3 years,1,2,23,754160,1,,0,debt consolidation,Short Term,232958,120498,3713,749,0
158,Rent,901588,< 1 year,0,5,16,131230,0,55,0,debt consolidation,Long Term,266904,88407,7566,661,1
159,Home Mortgage,,4 years,0,10,20.2,1417042,0,17,0,debt consolidation,Short Term,440308,671878,33841,,0
160,Rent,756276,2 years,0,5,16.7,525778,0,,0,other,Long Term,99999999,53580,1683,739,0
161,Rent,681435,< 1 year,0,8,18.8,261602,0,67,0,debt consolidation,Short Term,169070,127870,4594,742,0
162,Home Mortgage,2131591,< 1 year,0,15,31.7,4191176,0,,0,debt consolidation,Short Term,269258,3547262,20783,728,0
163,Rent,735528,4 years,0,11,14.3,546920,0,,0,debt consolidation,Short Term,99999999,403845,15201,714,0
164,Home Mortgage,2899305,10+ years,0,15,16.6,667480,0,,0,debt consolidation,Long Term,783332,328016,64751,709,0
165,Home Mortgage,1951319,4 years,0,7,18.6,601766,0,,0,business loan,Short Term,327888,220875,13936,736,0
166,Home Mortgage,4580976,4 years,0,18,25.5,1553530,0,,0,debt consolidation,Long Term,99999999,633289,94674,727,0
167,Home Mortgage,1808800,5 years,0,7,23.3,522104,1,61,1,debt consolidation,Long Term,436524,257013,19897,717,0
168,Home Mortgage,2379522,2 years,0,23,17.8,1267530,0,37,0,debt consolidation,Short Term,99999999,839629,39064,743,0
169,Home Mortgage,2334226,,0,13,31.4,2170894,0,,0,debt consolidation,Short Term,465234,628083,30150,750,0
170,Home Mortgage,664810,10+ years,0,11,21.1,393162,1,,1,debt consolidation,Short Term,99999999,117477,5651,741,0
171,Rent,848426,10+ years,0,10,17.9,274934,0,,0,debt consolidation,Short Term,151184,163362,13221,718,1
172,Rent,1197323,3 years,0,17,12,671176,0,,0,debt consolidation,Short Term,290686,213902,17660,748,0
173,Rent,1501855,10+ years,0,8,14.7,372196,0,8,0,debt consolidation,Long Term,535084,132430,28285,678,0
174,Own Home,708491,1 year,0,16,19.4,559020,0,21,0,debt consolidation,Short Term,326524,438862,20960,709,1
175,Home Mortgage,1281455,5 years,0,9,20.5,552662,0,,0,debt consolidation,Long Term,541530,368486,26056,675,0
176,Own Home,833416,10+ years,0,7,9.5,237138,0,59,0,debt consolidation,Short Term,61402,58159,3091,667,0
177,Home Mortgage,,10+ years,0,16,24.5,824428,0,,0,debt consolidation,Short Term,264264,317566,25942,,0
178,Rent,696863,7 years,0,7,7.8,652762,0,,0,other,Short Term,87406,187169,9872,718,0
179,Home Mortgage,1094837,,0,9,39.3,611754,0,,0,debt consolidation,Short Term,134420,230356,17700,743,0
180,Home Mortgage,2356475,10+ years,0,11,34,465124,0,,0,debt consolidation,Short Term,523886,272745,32009,700,0
181,Home Mortgage,,3 years,0,17,20.6,1824306,0,47,0,debt consolidation,Long Term,626538,967385,63515,,0
182,Rent,597075,2 years,0,12,4.8,943360,0,,0,debt consolidation,Short Term,144958,97774,3060,737,0
183,Own Home,,< 1 year,0,9,9.1,101442,0,3,0,buy a car,Short Term,40546,51585,4553,,1
184,Home Mortgage,1770895,10+ years,0,19,10.1,1115114,0,,0,debt consolidation,Short Term,264572,471903,24350,741,0
185,Home Mortgage,2010960,10+ years,1,7,23.4,180488,1,40,0,home improvements,Short Term,646800,13870,17763,743,0
186,Rent,1325345,< 1 year,0,16,9.9,980342,0,,0,debt consolidation,Long Term,438460,536788,24850,645,0
187,Home Mortgage,,3 years,0,24,20.5,2940916,0,,0,debt consolidation,Long Term,260414,985473,40120,,0
188,Home Mortgage,2657074,7 years,0,16,32,1630618,0,,0,debt consolidation,Short Term,615318,1080131,42513,747,1
189,Rent,1863311,10+ years,1,17,17.9,948420,2,,1,debt consolidation,Long Term,653796,674937,42856,683,1
190,Rent,1857554,7 years,0,24,19.7,707630,0,,0,debt consolidation,Short Term,322630,400900,26470,742,0
191,Rent,479940,5 years,0,23,10.5,450626,0,,0,debt consolidation,Short Term,114488,101574,10799,697,1
192,Rent,929575,1 year,0,17,14.5,868538,0,,0,debt consolidation,Short Term,99999999,182267,17817,748,0
193,Home Mortgage,,10+ years,0,21,29.4,1714966,0,4,0,debt consolidation,Short Term,695068,503576,67783,,1
194,Rent,1417514,10+ years,0,19,30,611798,0,32,0,debt consolidation,Short Term,562100,284791,22562,736,1
195,Home Mortgage,,1 year,0,19,19.9,809446,0,17,0,debt consolidation,Long Term,602624,353723,32651,,1
196,Rent,815157,7 years,0,3,8.8,0,0,,0,small business,Short Term,218042,0,5855,738,0
197,Home Mortgage,1221662,4 years,0,9,10.6,283096,0,26,0,medical bills,Short Term,261140,95342,15678,728,1
198,Rent,2298240,10+ years,0,11,13.3,840048,0,,0,debt consolidation,Short Term,332640,587651,18520,7370,1
199,Home Mortgage,1738044,4 years,0,12,26,402556,0,76,0,debt consolidation,Short Term,61248,233966,35919,740,0
200,Home Mortgage,1341590,8 years,0,12,20.9,700942,0,30,0,debt consolidation,Short Term,215754,494589,21801,732,0
201,Home Mortgage,,6 years,0,7,15,402886,0,,0,debt consolidation,Short Term,178002,265506,17615,,0
202,Rent,2022835,4 years,0,10,26.8,229746,1,43,1,debt consolidation,Short Term,350240,136705,9018,733,0
203,Rent,1077490,< 1 year,0,10,15.4,271832,0,12,0,debt consolidation,Long Term,377652,170677,4597,726,0
204,Rent,637279,2 years,0,12,10.8,362406,0,,0,debt consolidation,Short Term,268334,231610,11259,745,0
205,Home Mortgage,,5 years,0,8,25.7,896456,0,,0,debt consolidation,Long Term,262768,194332,6539,,0
206,Home Mortgage,1304407,2 years,0,12,40.3,607684,0,,0,debt consolidation,Short Term,124652,455544,25979,747,1
207,Rent,1130196,6 years,0,16,14.4,635052,0,8,0,debt consolidation,Long Term,99999999,329631,30327,721,0
208,Home Mortgage,917567,10+ years,0,9,15.8,313478,0,37,0,debt consolidation,Short Term,221342,137807,12387,751,0
209,Home Mortgage,2685536,10+ years,0,12,31,1353286,0,32,0,debt consolidation,Short Term,99999999,178809,35628,744,0
210,Own Home,679630,10+ years,0,12,22.4,359876,0,,0,debt consolidation,Short Term,112420,299307,19370,706,0
211,Home Mortgage,2506252,1 year,0,11,21.4,1589148,0,,0,debt consolidation,Short Term,454542,639559,31328,748,1
212,Rent,,2 years,0,18,17.3,1540198,0,43,0,debt consolidation,Short Term,218988,95779,15642,,0
213,Home Mortgage,,< 1 year,0,10,21.5,305756,0,65,0,debt consolidation,Short Term,332288,202806,21355,,1
214,Home Mortgage,1101126,10+ years,0,15,26.4,1043658,0,19,0,debt consolidation,Short Term,263780,517370,21288,728,0
215,Rent,567378,4 years,0,11,20.5,238326,0,,0,debt consolidation,Short Term,131384,45904,7414,724,0
216,Home Mortgage,1627825,10+ years,0,6,30,290136,0,7,0,buy a car,Short Term,133848,136306,24689,745,0
217,Home Mortgage,1733674,10+ years,0,19,22.4,2847174,1,,1,debt consolidation,Short Term,715682,287698,33084,7040,1
218,Home Mortgage,,3 years,0,8,23.6,323312,0,,0,debt consolidation,Short Term,267520,230926,5487,,0
219,Rent,564357,7 years,0,9,9.8,455048,0,77,0,debt consolidation,Short Term,225984,311258,14015,731,0
220,Home Mortgage,656336,5 years,0,4,15.3,286044,0,,0,debt consolidation,Short Term,261514,237405,6837,700,1
221,Own Home,1485857,< 1 year,1,10,10,407946,1,,0,other,Short Term,99999999,98287,19811,703,0
222,Rent,892791,2 years,0,20,9.6,141570,0,34,0,debt consolidation,Short Term,134838,86811,3303,741,0
223,Rent,,2 years,0,9,21.8,650562,0,32,0,debt consolidation,Short Term,108372,383743,7886,,0
224,Home Mortgage,1226583,7 years,0,15,12.2,776160,0,,0,debt consolidation,Long Term,542080,350569,16048,660,0
225,Own Home,583224,1 year,0,6,23.1,159830,0,,0,debt consolidation,Short Term,162074,128231,4666,712,0
226,Home Mortgage,509599,,0,12,38.7,836220,0,,0,other,Short Term,128744,578474,14354,704,0
227,Rent,2299836,6 years,0,12,15,902792,0,,0,debt consolidation,Long Term,776710,362558,46188,701,0
228,Home Mortgage,486552,10+ years,0,6,26.6,495924,0,,0,debt consolidation,Short Term,187594,174325,4906,738,1
229,Home Mortgage,2065756,3 years,0,15,20.1,641432,0,16,0,debt consolidation,Short Term,271810,232655,45791,739,0
230,Rent,835601,2 years,0,7,11.8,96800,0,48,0,debt consolidation,Short Term,51612,74233,5146,715,0
231,Rent,563502,2 years,0,5,24.3,47938,0,63,0,other,Short Term,39138,9310,8453,715,0
232,Home Mortgage,,5 years,0,12,19.7,1051688,0,,0,debt consolidation,Short Term,423720,618545,43383,,0
233,Home Mortgage,1159152,1 year,0,14,18.5,651310,0,,0,debt consolidation,Short Term,322124,473632,23570,730,0
234,Home Mortgage,,3 years,0,21,28.7,1156232,0,,0,debt consolidation,Short Term,379280,519251,27894,,0
235,Home Mortgage,,5 years,0,9,13.8,951676,0,,0,home improvements,Short Term,603812,329593,12664,,0
236,Own Home,1533984,6 years,0,14,16,421850,0,55,0,other,Short Term,133210,241547,31575,743,1
237,Home Mortgage,1570065,8 years,0,7,14.5,550000,0,79,0,home improvements,Long Term,99999999,47500,17271,729,0
238,Home Mortgage,,10+ years,0,17,20.7,269148,0,,0,other,Short Term,269148,175503,32983,,0
239,Own Home,863341,10+ years,0,12,15.1,1226390,0,,0,other,Short Term,365090,134520,3137,751,1
240,Rent,749816,4 years,0,11,13,164780,1,75,1,debt consolidation,Short Term,93500,80693,16933,717,0
241,Own Home,753179,,0,13,21.5,462220,0,80,0,debt consolidation,Short Term,135146,162868,13055,739,1
242,Rent,860567,4 years,0,8,17.7,268070,0,22,0,debt consolidation,Short Term,265716,198645,13554,725,0
243,Home Mortgage,,3 years,0,19,10.1,289762,0,71,0,debt consolidation,Long Term,214588,135375,10842,,0
244,Rent,1325212,< 1 year,0,6,23.4,649770,0,,0,moving,Short Term,99999999,45448,906,745,0
